Transaction_ID;Menu;Harga;Lokasi;Metode_Pembayaran;Waktu
1;Americano;18000;Bandung;Debit;2024-01-02 05:22:00
2;Caramel Macchiato;28000;Jakarta;Cash;2024-01-16 01:49:00
3;Caramel Macchiato;28000;Bandung;Dana;2024-01-04 09:45:00
4;Americano;18000;Makassar;ShopeePay;2024-01-01 16:04:00
5;Caramel Macchiato;28000;Makassar;Dana;2024-01-16 09:22:00
6;Americano;18000;Makassar;Dana;2024-01-04 13:29:00
7;Thai Tea;20000;Medan;Cash;2024-01-08 08:16:00
8;Hazelnut Latte;27000;Medan;Debit;2024-01-03 14:05:00
9;Hazelnut Latte;27000;Denpasar;ShopeePay;2024-01-08 19:33:00
10;Kopi Kenangan Mantan;22000;Medan;OVO;2024-01-28 04:11:00
11;Kopi Kenangan Mantan;22000;Makassar;GoPay;2024-01-11 20:34:00
12;Hazelnut Latte;27000;Medan;Debit;2024-01-21 14:05:00
13;Americano;18000;Jakarta;ShopeePay;2024-01-04 21:26:00
14;Americano;18000;Surabaya;Dana;2024-02-04 04:17:00
15;Chocolate;23000;Medan;GoPay;2024-01-06 09:37:00
16;Caramel Macchiato;28000;Yogyakarta;GoPay;2024-01-24 14:16:00
17;Thai Tea;20000;Medan;ShopeePay;2024-01-11 05:31:00
18;Caffe Latte;25000;Surabaya;OVO;2024-01-06 06:33:00
19;Matcha Latte;26000;Surabaya;Debit;2024-01-23 11:39:00
20;Caramel Macchiato;28000;Jakarta;Debit;2024-01-19 13:24:00
21;Caffe Latte;25000;Denpasar;Cash;2024-01-08 11:57:00
22;Chocolate;23000;Jakarta;ShopeePay;2024-01-14 10:24:00
23;Chocolate;23000;Jakarta;OVO;2024-01-28 01:43:00
24;Caffe Latte;25000;Medan;Cash;2024-02-02 10:36:00
25;Brown Sugar Latte;24000;Yogyakarta;Cash;2024-01-12 10:15:00
26;Hazelnut Latte;27000;Surabaya;ShopeePay;2024-01-20 08:03:00
27;Brown Sugar Latte;24000;Semarang;OVO;2024-01-02 16:28:00
28;Matcha Latte;26000;Makassar;Debit;2024-01-05 15:51:00
29;Caramel Macchiato;28000;Semarang;Debit;2024-02-02 14:28:00
30;Vanilla Latte;26000;Bandung;Cash;2024-01-06 20:18:00
31;Caffe Latte;25000;Semarang;GoPay;2024-01-11 12:17:00
32;Hazelnut Latte;27000;Makassar;Dana;2024-02-02 22:50:00
33;Brown Sugar Latte;24000;Bandung;Dana;2024-01-06 21:28:00
34;Vanilla Latte;26000;Medan;Dana;2024-01-28 15:48:00
35;Kopi Kenangan Mantan;22000;Yogyakarta;Debit;2024-01-31 09:18:00
36;Caffe Latte;25000;Denpasar;GoPay;2024-02-04 02:27:00
37;Caffe Latte;25000;Bandung;ShopeePay;2024-01-09 20:22:00
38;Brown Sugar Latte;24000;Makassar;Cash;2024-01-09 17:20:00
39;Hazelnut Latte;27000;Jakarta;OVO;2024-01-31 11:01:00
40;Caffe Latte;25000;Makassar;Debit;2024-01-16 21:52:00
41;Caramel Macchiato;28000;Semarang;GoPay;2024-01-27 09:21:00
42;Americano;18000;Denpasar;ShopeePay;2024-01-22 08:01:00
43;Thai Tea;20000;Surabaya;OVO;2024-01-13 15:56:00
44;Vanilla Latte;26000;Jakarta;ShopeePay;2024-01-28 15:28:00
45;Hazelnut Latte;27000;Bandung;Debit;2024-01-28 02:50:00
46;Thai Tea;20000;Jakarta;GoPay;2024-01-08 01:47:00
47;Thai Tea;20000;Denpasar;OVO;2024-01-16 06:45:00
48;Chocolate;23000;Bandung;Debit;2024-02-03 07:10:00
49;Chocolate;23000;Makassar;Cash;2024-01-11 23:29:00
50;Vanilla Latte;26000;Bandung;Debit;2024-01-11 09:05:00
51;Americano;18000;Surabaya;Dana;2024-01-19 08:49:00
52;Hazelnut Latte;27000;Yogyakarta;Debit;2024-01-01 18:31:00
53;Matcha Latte;26000;Surabaya;OVO;2024-01-04 18:08:00
54;Caramel Macchiato;28000;Bandung;Cash;2024-01-15 03:01:00
55;Kopi Kenangan Mantan;22000;Makassar;GoPay;2024-01-08 06:43:00
56;Vanilla Latte;26000;Bandung;Cash;2024-01-08 04:00:00
57;Brown Sugar Latte;24000;Bandung;ShopeePay;2024-01-20 08:49:00
58;Brown Sugar Latte;24000;Jakarta;ShopeePay;2024-01-29 08:20:00
59;Kopi Kenangan Mantan;22000;Medan;ShopeePay;2024-01-19 03:51:00
60;Brown Sugar Latte;24000;Bandung;ShopeePay;2024-01-10 02:14:00
61;Matcha Latte;26000;Makassar;Cash;2024-01-13 05:12:00
62;Caffe Latte;25000;Denpasar;OVO;2024-01-19 05:57:00
63;Vanilla Latte;26000;Denpasar;ShopeePay;2024-01-26 14:36:00
64;Brown Sugar Latte;24000;Medan;OVO;2024-01-23 13:31:00
65;Caffe Latte;25000;Jakarta;ShopeePay;2024-01-25 17:35:00
66;Caramel Macchiato;28000;Semarang;OVO;2024-01-02 15:57:00
67;Caffe Latte;25000;Yogyakarta;OVO;2024-01-21 20:23:00
68;Vanilla Latte;26000;Medan;OVO;2024-01-14 02:35:00
69;Vanilla Latte;26000;Surabaya;OVO;2024-02-01 07:39:00
70;Vanilla Latte;26000;Bandung;OVO;2024-01-22 12:30:00
71;Thai Tea;20000;Surabaya;Dana;2024-01-23 10:56:00
72;Caramel Macchiato;28000;Bandung;ShopeePay;2024-01-30 09:58:00
73;Chocolate;23000;Bandung;OVO;2024-01-09 13:50:00
74;Kopi Kenangan Mantan;22000;Bandung;GoPay;2024-02-04 09:11:00
75;Caffe Latte;25000;Makassar;Dana;2024-01-26 17:47:00
76;Americano;18000;Denpasar;Debit;2024-02-02 10:34:00
77;Caffe Latte;25000;Bandung;Cash;2024-01-13 23:17:00
78;Thai Tea;20000;Makassar;OVO;2024-01-18 07:42:00
79;Matcha Latte;26000;Makassar;GoPay;2024-01-03 07:21:00
80;Thai Tea;20000;Medan;GoPay;2024-01-15 12:20:00
81;Matcha Latte;26000;Bandung;OVO;2024-01-25 12:31:00
82;Americano;18000;Makassar;OVO;2024-01-11 17:59:00
83;Vanilla Latte;26000;Semarang;ShopeePay;2024-01-29 21:52:00
84;Americano;18000;Surabaya;OVO;2024-01-20 13:53:00
85;Matcha Latte;26000;Medan;Debit;2024-01-24 07:38:00
86;Kopi Kenangan Mantan;22000;Makassar;ShopeePay;2024-01-02 00:55:00
87;Kopi Kenangan Mantan;22000;Semarang;GoPay;2024-01-14 16:00:00
88;Vanilla Latte;26000;Makassar;Dana;2024-01-31 12:50:00
89;Brown Sugar Latte;24000;Jakarta;Debit;2024-01-04 18:29:00
90;Hazelnut Latte;27000;Bandung;Cash;2024-01-08 21:41:00
